cell,ix,iz,x_mm,z_mm,total_weight,num_slots,mean_E_MeV,mean_theta_rad,min_E_MeV,max_E_MeV,min_theta_rad,max_theta_rad
39485,85,197,42.750000,98.750000,0.000172,1,73.062500,-0.218166,73.062500,73.062500,-0.218166,-0.218166
42905,105,214,52.750000,107.250000,0.000074,1,70.312500,-0.218166,70.312500,70.312500,-0.218166,-0.218166
43101,101,215,50.750000,107.750000,0.000288,1,72.812500,-0.218166,72.812500,72.812500,-0.218166,-0.218166
43112,112,215,56.250000,107.750000,0.000012,1,69.562500,-0.218166,69.562500,69.562500,-0.218166,-0.218166
45115,115,225,57.750000,112.750000,0.000099,1,67.062500,-0.043633,67.062500,67.062500,-0.043633,-0.043633
46076,76,230,38.250000,115.250000,0.027338,1,66.812500,-0.305433,66.812500,66.812500,-0.305433,-0.305433
46306,106,231,53.250000,115.750000,0.003066,1,67.812500,-0.218166,67.812500,67.812500,-0.218166,-0.218166
46324,124,231,62.250000,115.750000,0.000041,1,67.562500,-0.130900,67.562500,67.562500,-0.130900,-0.130900
46325,125,231,62.750000,115.750000,0.000030,1,67.562500,-0.130900,67.562500,67.562500,-0.130900,-0.130900
46530,130,232,65.250000,116.250000,0.000008,1,65.562500,-0.218166,65.562500,65.562500,-0.218166,-0.218166
46722,122,233,61.250000,116.750000,0.000130,1,67.562500,-0.130900,67.562500,67.562500,-0.130900,-0.130900
47100,100,235,50.250000,117.750000,0.012719,1,66.312500,-0.218166,66.312500,66.312500,-0.218166,-0.218166
47251,51,236,25.750000,118.250000,0.000470,1,65.812500,-0.218166,65.812500,65.812500,-0.218166,-0.218166
47277,77,236,38.750000,118.250000,0.022791,1,65.812500,-0.218166,65.812500,65.812500,-0.218166,-0.218166
47290,90,236,45.250000,118.250000,0.027309,1,69.812500,-0.218166,69.812500,69.812500,-0.218166,-0.218166
47292,92,236,46.250000,118.250000,0.025300,1,68.562500,-0.218166,68.562500,68.562500,-0.218166,-0.218166
49274,74,246,37.250000,123.250000,0.003031,1,55.062500,0.479966,55.062500,55.062500,0.479966,0.479966
49310,110,246,55.250000,123.250000,0.014087,1,65.812500,-0.043633,65.812500,65.812500,-0.043633,-0.043633
49492,92,247,46.250000,123.750000,0.023913,1,56.062500,0.479966,56.062500,56.062500,0.479966,0.479966
49658,58,248,29.250000,124.250000,0.000130,1,64.062500,0.043633,64.062500,64.062500,0.043633,0.043633
49661,61,248,30.750000,124.250000,0.000286,1,64.062500,-0.043633,64.062500,64.062500,-0.043633,-0.043633
49666,66,248,33.250000,124.250000,0.000932,1,62.812500,-0.043633,62.812500,62.812500,-0.043633,-0.043633
49668,68,248,34.250000,124.250000,0.001423,1,63.062500,0.043633,63.062500,63.062500,0.043633,0.043633
49669,69,248,34.750000,124.250000,0.001741,1,62.062500,-0.043633,62.062500,62.062500,-0.043633,-0.043633
49699,99,248,49.750000,124.250000,0.028968,1,63.812500,-0.130900,63.812500,63.812500,-0.130900,-0.130900
49706,106,248,53.250000,124.250000,0.022734,1,65.312500,-0.043633,65.312500,65.312500,-0.043633,-0.043633
49716,116,248,58.250000,124.250000,0.008900,1,62.812500,0.043633,62.812500,62.812500,0.043633,0.043633
49718,118,248,59.250000,124.250000,0.006792,1,64.812500,0.043633,64.812500,64.812500,0.043633,0.043633
49719,119,248,59.750000,124.250000,0.005871,1,66.312500,-0.043633,66.312500,66.312500,-0.043633,-0.043633
49724,124,248,62.250000,124.250000,0.002551,1,64.062500,-0.043633,64.062500,64.062500,-0.043633,-0.043633
50052,52,250,26.250000,125.250000,0.000012,1,65.812500,0.043633,65.812500,65.812500,0.043633,0.043633
50053,53,250,26.750000,125.250000,0.000016,1,63.312500,0.130900,63.312500,63.312500,0.130900,0.130900
50054,54,250,27.250000,125.250000,0.000022,1,61.562500,0.218166,61.562500,61.562500,0.218166,0.218166
50055,55,250,27.750000,125.250000,0.000030,1,65.812500,-0.043633,65.812500,65.812500,-0.043633,-0.043633
50057,57,250,28.750000,125.250000,0.000055,1,63.812500,0.130900,63.812500,63.812500,0.130900,0.130900
50058,58,250,29.250000,125.250000,0.000074,1,63.812504,0.043633,63.812500,63.812500,0.043633,0.043633
50059,59,250,29.750000,125.250000,0.000098,1,65.062500,0.043633,65.062500,65.062500,0.043633,0.043633
50061,61,250,30.750000,125.250000,0.000170,1,63.562496,0.130900,63.562500,63.562500,0.130900,0.130900
50062,62,250,31.250000,125.250000,0.000221,1,63.312500,0.305433,63.312500,63.312500,0.305433,0.305433
50064,64,250,32.250000,125.250000,0.000367,1,61.562500,0.130900,61.562500,61.562500,0.130900,0.130900
50066,66,250,33.250000,125.250000,0.000592,1,60.062500,-0.043633,60.062500,60.062500,-0.043633,-0.043633
50067,67,250,33.750000,125.250000,0.000745,1,65.312500,0.130900,65.312500,65.312500,0.130900,0.130900
50069,69,250,34.750000,125.250000,0.001155,1,63.312496,0.043633,63.312500,63.312500,0.043633,0.043633
50072,72,250,36.250000,125.250000,0.002114,1,64.312500,-0.043633,64.312500,64.312500,-0.043633,-0.043633
50073,73,250,36.750000,125.250000,0.002544,1,60.812504,0.305433,60.812500,60.812500,0.305433,0.305433
50075,75,250,37.750000,125.250000,0.003632,1,62.312500,0.218166,62.312500,62.312500,0.218166,0.218166
50076,76,250,38.250000,125.250000,0.004293,1,64.312500,0.043633,64.312500,64.312500,0.043633,0.043633
50077,77,250,38.750000,125.250000,0.005032,1,61.812500,0.218166,61.812500,61.812500,0.218166,0.218166
50078,78,250,39.250000,125.250000,0.005846,1,61.812500,0.218166,61.812500,61.812500,0.218166,0.218166
50079,79,250,39.750000,125.250000,0.006784,1,62.812500,-0.043633,62.812500,62.812500,-0.043633,-0.043633
50080,80,250,40.250000,125.250000,0.007781,1,59.062500,0.218166,59.062500,59.062500,0.218166,0.218166
50081,81,250,40.750000,125.250000,0.008890,1,61.062500,0.130900,61.062500,61.062500,0.130900,0.130900
50082,82,250,41.250000,125.250000,0.010081,1,63.062504,-0.043633,63.062500,63.062500,-0.043633,-0.043633
50083,83,250,41.750000,125.250000,0.011336,1,63.312500,0.305433,63.312500,63.312500,0.305433,0.305433
50084,84,250,42.250000,125.250000,0.012681,1,62.062500,0.043633,62.062500,62.062500,0.043633,0.043633
50085,85,250,42.750000,125.250000,0.014070,1,64.812500,0.043633,64.812500,64.812500,0.043633,0.043633
50086,86,250,43.250000,125.250000,0.015506,1,60.562500,0.043633,60.562500,60.562500,0.043633,0.043633
50087,87,250,43.750000,125.250000,0.016942,1,61.562500,0.218166,61.562500,61.562500,0.218166,0.218166
50088,88,250,44.250000,125.250000,0.018430,1,61.812496,0.130900,61.812500,61.812500,0.130900,0.130900
50089,89,250,44.750000,125.250000,0.019911,1,63.562504,0.043633,63.562500,63.562500,0.043633,0.043633
50090,90,250,45.250000,125.250000,0.021336,1,61.312504,0.043633,61.312500,61.312500,0.043633,0.043633
50093,93,250,46.750000,125.250000,0.025225,1,66.062500,-0.043633,66.062500,66.062500,-0.043633,-0.043633
50094,94,250,47.250000,125.250000,0.026269,1,61.562500,0.305433,61.562500,61.562500,0.305433,0.305433
50096,96,250,48.250000,125.250000,0.027974,1,62.812500,-0.043633,62.812500,62.812500,-0.043633,-0.043633
50097,97,250,48.750000,125.250000,0.028584,1,64.312500,-0.043633,64.312500,64.312500,-0.043633,-0.043633
50098,98,250,49.250000,125.250000,0.028962,1,63.312500,0.218166,63.312500,63.312500,0.218166,0.218166
50099,99,250,49.750000,125.250000,0.029163,1,64.812500,0.043633,64.812500,64.812500,0.043633,0.043633
50100,100,250,50.250000,125.250000,0.029170,1,62.562500,-0.043633,62.562500,62.562500,-0.043633,-0.043633
50102,102,250,51.250000,125.250000,0.028566,1,63.562500,0.043633,63.562500,63.562500,0.043633,0.043633
50103,103,250,51.750000,125.250000,0.027875,1,58.562500,0.218166,58.562500,58.562500,0.218166,0.218166
50105,105,250,52.750000,125.250000,0.026258,1,61.312500,0.043633,61.312500,61.312500,0.043633,0.043633
50107,107,250,53.750000,125.250000,0.024018,1,66.312500,-0.043633,66.312500,66.312500,-0.043633,-0.043633
50109,109,250,54.750000,125.250000,0.021303,1,62.312500,0.305433,62.312500,62.312500,0.305433,0.305433
50110,110,250,55.250000,125.250000,0.019859,1,60.062500,0.218166,60.062500,60.062500,0.218166,0.218166
50111,111,250,55.750000,125.250000,0.018431,1,61.812500,0.043633,61.812500,61.812500,0.043633,0.043633
50112,112,250,56.250000,125.250000,0.016977,1,64.312500,-0.043633,64.312500,64.312500,-0.043633,-0.043633
50113,113,250,56.750000,125.250000,0.015496,1,62.062500,0.218166,62.062500,62.062500,0.218166,0.218166
50116,116,250,58.250000,125.250000,0.011342,1,63.812500,0.043633,63.812500,63.812500,0.043633,0.043633
50117,117,250,58.750000,125.250000,0.010077,1,62.562504,0.130900,62.562500,62.562500,0.130900,0.130900
50119,119,250,59.750000,125.250000,0.007795,1,63.562500,0.130900,63.562500,63.562500,0.130900,0.130900
50122,122,250,61.250000,125.250000,0.005022,1,62.562504,0.218166,62.562500,62.562500,0.218166,0.218166
50123,123,250,61.750000,125.250000,0.004287,1,63.812500,0.130900,63.812500,63.812500,0.130900,0.130900
50124,124,250,62.250000,125.250000,0.003629,1,61.812500,0.218166,61.812500,61.812500,0.218166,0.218166
50127,127,250,63.750000,125.250000,0.002114,1,68.312500,0.130900,68.312500,68.312500,0.130900,0.130900
50128,128,250,64.250000,125.250000,0.001740,1,65.062500,-0.043633,65.062500,65.062500,-0.043633,-0.043633
50129,129,250,64.750000,125.250000,0.001422,1,63.562500,0.218166,63.562500,63.562500,0.218166,0.218166
50130,130,250,65.250000,125.250000,0.001153,1,62.062500,0.218166,62.062500,62.062500,0.218166,0.218166
50131,131,250,65.750000,125.250000,0.000930,1,62.812500,0.130900,62.812500,62.812500,0.130900,0.130900
50132,132,250,66.250000,125.250000,0.000744,1,62.812500,0.218166,62.812500,62.812500,0.218166,0.218166
50133,133,250,66.750000,125.250000,0.000593,1,63.062500,0.043633,63.062500,63.062500,0.043633,0.043633
50134,134,250,67.250000,125.250000,0.000467,1,62.312500,0.218166,62.312500,62.312500,0.218166,0.218166
50135,135,250,67.750000,125.250000,0.000367,1,63.062500,0.130900,63.062500,63.062500,0.130900,0.130900
50137,137,250,68.750000,125.250000,0.000221,1,62.812500,0.392699,62.812500,62.812500,0.392699,0.392699
50142,142,250,71.250000,125.250000,0.000055,1,63.562500,0.218166,63.562500,63.562500,0.218166,0.218166
50145,145,250,72.750000,125.250000,0.000022,1,64.562500,0.130900,64.562500,64.562500,0.130900,0.130900
50146,146,250,73.250000,125.250000,0.000016,1,62.062496,0.043633,62.062500,62.062500,0.043633,0.043633
