cell,ix,iz,x_mm,z_mm,total_weight,num_slots,mean_E_MeV,mean_theta_rad,min_E_MeV,max_E_MeV,min_theta_rad,max_theta_rad
5043,43,50,43.500000,50.500000,0.004722,74,125.275108,0.010189,123.875000,127.625000,-0.126389,0.145833
5044,44,50,44.500000,50.500000,0.042502,158,125.180618,0.010249,123.125000,127.625000,-0.145833,0.145833
5045,45,50,45.500000,50.500000,0.102003,174,125.023193,0.009151,123.125000,126.625000,-0.165278,0.165278
5046,46,50,46.500000,50.500000,0.112393,201,125.129280,0.009937,123.125000,127.125000,-0.145833,0.165278
5047,47,50,47.500000,50.500000,0.085003,192,125.152840,0.008925,123.125000,127.125000,-0.145833,0.165278
5048,48,50,48.500000,50.500000,0.060447,186,125.144623,0.008981,123.125000,127.125000,-0.165278,0.165278
5049,49,50,49.500000,50.500000,0.068947,176,125.039474,0.009797,123.125000,126.625000,-0.145833,0.165278
5050,50,50,50.500000,50.500000,0.058558,171,125.153320,0.008659,123.125000,126.625000,-0.145833,0.165278
5051,51,50,51.500000,50.500000,0.076503,173,125.072601,0.009127,123.125000,126.625000,-0.145833,0.165278
5052,52,50,52.500000,50.500000,0.066113,190,125.114334,0.009052,123.125000,126.625000,-0.145833,0.165278
5053,53,50,53.500000,50.500000,0.107671,171,125.120674,0.009528,123.125000,126.125000,-0.145833,0.165278
5054,54,50,54.500000,50.500000,0.094448,172,125.082581,0.010232,123.125000,126.625000,-0.126389,0.165278
5055,55,50,55.500000,50.500000,0.058558,192,125.193657,0.010730,123.125000,126.625000,-0.145833,0.165278
5056,56,50,56.500000,50.500000,0.006611,103,124.910858,0.010639,122.125000,126.625000,-0.126389,0.165278
