cell,ix,iz,x_mm,z_mm,total_weight,num_slots,mean_E_MeV,mean_theta_rad,min_E_MeV,max_E_MeV,min_theta_rad,max_theta_rad
1452,52,7,26.250000,3.750000,0.000013,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1453,53,7,26.750000,3.750000,0.000018,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1454,54,7,27.250000,3.750000,0.000025,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1455,55,7,27.750000,3.750000,0.000034,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1456,56,7,28.250000,3.750000,0.000046,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1457,57,7,28.750000,3.750000,0.000063,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1458,58,7,29.250000,3.750000,0.000084,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1459,59,7,29.750000,3.750000,0.000111,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1460,60,7,30.250000,3.750000,0.000147,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1461,61,7,30.750000,3.750000,0.000193,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1462,62,7,31.250000,3.750000,0.000251,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1463,63,7,31.750000,3.750000,0.000325,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1464,64,7,32.250000,3.750000,0.000417,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1465,65,7,32.750000,3.750000,0.000531,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1466,66,7,33.250000,3.750000,0.000673,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1467,67,7,33.750000,3.750000,0.000846,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1468,68,7,34.250000,3.750000,0.001057,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1469,69,7,34.750000,3.750000,0.001311,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1470,70,7,35.250000,3.750000,0.001614,1,148.062500,0.043633,148.062500,148.062500,0.043633,0.043633
1471,71,7,35.750000,3.750000,0.001974,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1472,72,7,36.250000,3.750000,0.002398,1,148.062500,0.043633,148.062500,148.062500,0.043633,0.043633
1473,73,7,36.750000,3.750000,0.002893,1,148.062500,0.043633,148.062500,148.062500,0.043633,0.043633
1474,74,7,37.250000,3.750000,0.003465,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1475,75,7,37.750000,3.750000,0.004122,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1476,76,7,38.250000,3.750000,0.004870,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1477,77,7,38.750000,3.750000,0.005713,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1478,78,7,39.250000,3.750000,0.006656,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1479,79,7,39.750000,3.750000,0.007701,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1480,80,7,40.250000,3.750000,0.008849,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1481,81,7,40.750000,3.750000,0.010097,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1482,82,7,41.250000,3.750000,0.011441,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1483,83,7,41.750000,3.750000,0.012875,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1484,84,7,42.250000,3.750000,0.014388,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1485,85,7,42.750000,3.750000,0.015968,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1486,86,7,43.250000,3.750000,0.017598,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1487,87,7,43.750000,3.750000,0.019261,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1488,88,7,44.250000,3.750000,0.020935,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1489,89,7,44.750000,3.750000,0.022596,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1490,90,7,45.250000,3.750000,0.024221,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1491,91,7,45.750000,3.750000,0.025784,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1492,92,7,46.250000,3.750000,0.027256,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1493,93,7,46.750000,3.750000,0.028614,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1494,94,7,47.250000,3.750000,0.029832,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1495,95,7,47.750000,3.750000,0.030886,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1496,96,7,48.250000,3.750000,0.031756,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1497,97,7,48.750000,3.750000,0.032424,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1498,98,7,49.250000,3.750000,0.032878,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1499,99,7,49.750000,3.750000,0.033107,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1500,100,7,50.250000,3.750000,0.033107,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1501,101,7,50.750000,3.750000,0.032878,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1502,102,7,51.250000,3.750000,0.032424,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1503,103,7,51.750000,3.750000,0.031756,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1504,104,7,52.250000,3.750000,0.030886,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1505,105,7,52.750000,3.750000,0.029832,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1506,106,7,53.250000,3.750000,0.028614,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1507,107,7,53.750000,3.750000,0.027256,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1508,108,7,54.250000,3.750000,0.025784,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1509,109,7,54.750000,3.750000,0.024221,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1510,110,7,55.250000,3.750000,0.022596,1,148.062500,0.043633,148.062500,148.062500,0.043633,0.043633
1511,111,7,55.750000,3.750000,0.020935,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1512,112,7,56.250000,3.750000,0.019261,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1513,113,7,56.750000,3.750000,0.017598,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1514,114,7,57.250000,3.750000,0.015968,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1515,115,7,57.750000,3.750000,0.014388,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1516,116,7,58.250000,3.750000,0.012875,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1517,117,7,58.750000,3.750000,0.011441,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1518,118,7,59.250000,3.750000,0.010097,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1519,119,7,59.750000,3.750000,0.008849,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1520,120,7,60.250000,3.750000,0.007701,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1521,121,7,60.750000,3.750000,0.006656,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1522,122,7,61.250000,3.750000,0.005713,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1523,123,7,61.750000,3.750000,0.004870,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1524,124,7,62.250000,3.750000,0.004122,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1525,125,7,62.750000,3.750000,0.003465,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1526,126,7,63.250000,3.750000,0.002893,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1527,127,7,63.750000,3.750000,0.002398,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1528,128,7,64.250000,3.750000,0.001974,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1529,129,7,64.750000,3.750000,0.001614,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
1530,130,7,65.250000,3.750000,0.001311,1,148.312500,0.043633,148.312500,148.312500,0.043633,0.043633
