iter,cell,ix,iz,slot,bid,lidx,weight,b_theta,b_E,theta_local,E_local,x_sub,z_sub,theta_bin,E_bin,theta_rep,E_rep,x_offset_mm,z_offset_mm
200,15853,53,158,0,8,99,0.00000000,8,0,3,0,4,1,35,0,0.34027773,0.15000001,0.06250000,-0.12500000
200,15858,58,158,0,8,35,0.00000000,8,0,3,0,4,0,35,0,0.34027773,0.15000001,0.06250000,-0.37500000
200,15947,47,159,0,0,220,0.00000339,0,0,0,1,3,3,0,1,-0.34027779,0.25000000,-0.06250000,0.37500000
200,15948,48,159,0,0,160,0.00000001,0,0,0,0,4,2,0,0,-0.34027779,0.15000001,0.06250000,0.12500000
200,15949,49,159,0,0,156,0.00000030,0,0,0,1,3,2,0,1,-0.34027779,0.25000000,-0.06250000,0.12500000
200,15950,50,159,0,5,32,0.00000000,5,0,0,0,4,0,20,0,0.04861109,0.15000001,0.06250000,-0.37500000
200,15950,50,159,1,0,96,0.00000000,0,0,0,0,4,1,0,0,-0.34027779,0.15000001,0.06250000,-0.12500000
200,16044,44,160,0,4096,96,0.00000000,0,1,0,0,4,1,0,2,-0.34027779,0.35000002,0.06250000,-0.12500000
200,16046,46,160,0,0,152,0.00000000,0,0,0,0,3,2,0,0,-0.34027779,0.15000001,-0.06250000,0.12500000
200,16048,48,160,0,0,220,0.00000000,0,0,0,1,3,3,0,1,-0.34027779,0.25000000,-0.06250000,0.37500000
200,16048,48,160,0,0,224,0.00000002,0,0,0,0,4,3,0,0,-0.34027779,0.15000001,0.06250000,0.37500000
200,16048,48,160,2,4096,228,0.00000325,0,1,0,1,4,3,0,3,-0.34027779,0.44999999,0.06250000,0.37500000
200,16049,49,160,1,0,100,0.00000002,0,0,0,1,4,1,0,1,-0.34027779,0.25000000,0.06250000,-0.12500000
200,16049,49,160,1,0,160,0.00010972,0,0,0,0,4,2,0,0,-0.34027779,0.15000001,0.06250000,0.12500000
200,16049,49,160,2,8,39,0.00000000,8,0,3,1,4,0,35,1,0.34027773,0.25000000,0.06250000,-0.37500000
200,16050,50,160,0,0,88,0.00001422,0,0,0,0,3,1,0,0,-0.34027779,0.15000001,-0.06250000,-0.12500000
200,16050,50,160,1,8,227,0.00000726,8,0,3,0,4,3,35,0,0.34027773,0.15000001,0.06250000,0.37500000
200,16051,51,160,0,8200,103,0.00000000,8,2,3,1,4,1,35,5,0.34027773,0.65000004,0.06250000,-0.12500000
200,16054,54,160,0,0,96,0.00000006,0,0,0,0,4,1,0,0,-0.34027779,0.15000001,0.06250000,-0.12500000
200,16054,54,160,0,0,160,0.00000000,0,0,0,0,4,2,0,0,-0.34027779,0.15000001,0.06250000,0.12500000
200,16055,55,160,0,0,148,0.00000000,0,0,0,1,2,2,0,1,-0.34027779,0.25000000,-0.18750000,0.12500000
200,16055,55,160,1,8,216,0.00000000,8,0,0,0,3,3,32,0,0.28194442,0.15000001,-0.06250000,0.37500000
200,16144,44,161,0,0,152,0.00000000,0,0,0,0,3,2,0,0,-0.34027779,0.15000001,-0.06250000,0.12500000
200,16144,44,161,0,0,160,0.00016876,0,0,0,0,4,2,0,0,-0.34027779,0.15000001,0.06250000,0.12500000
200,16144,44,161,1,8,167,0.00032011,8,0,3,1,4,2,35,1,0.34027773,0.25000000,0.06250000,0.12500000
200,16146,46,161,0,8,163,0.00000281,8,0,3,0,4,2,35,0,0.34027773,0.15000001,0.06250000,0.12500000
200,16146,46,161,0,8,227,0.00000003,8,0,3,0,4,3,35,0,0.34027773,0.15000001,0.06250000,0.37500000
200,16147,47,161,0,2,99,0.00000475,2,0,3,0,4,1,11,0,-0.12638889,0.15000001,0.06250000,-0.12500000
200,16151,51,161,0,4096,208,0.00000000,0,1,0,0,2,3,0,2,-0.34027779,0.35000002,-0.18750000,0.37500000
200,16151,51,161,1,8,227,0.00000000,8,0,3,0,4,3,35,0,0.34027773,0.15000001,0.06250000,0.37500000
200,16153,53,161,0,0,216,0.00000000,0,0,0,0,3,3,0,0,-0.34027779,0.15000001,-0.06250000,0.37500000
200,16153,53,161,1,8,231,0.00000329,8,0,3,1,4,3,35,1,0.34027773,0.25000000,0.06250000,0.37500000
200,16154,54,161,0,0,152,0.00000030,0,0,0,0,3,2,0,0,-0.34027779,0.15000001,-0.06250000,0.12500000
200,16154,54,161,1,8,227,0.00000004,8,0,3,0,4,3,35,0,0.34027773,0.15000001,0.06250000,0.37500000
200,16156,56,161,0,8,35,0.00000412,8,0,3,0,4,0,35,0,0.34027773,0.15000001,0.06250000,-0.37500000
