cell,ix,iz,x_mm,z_mm,total_weight,num_slots,mean_E_MeV,mean_theta_rad,min_E_MeV,max_E_MeV,min_theta_rad,max_theta_rad
252,52,1,26.250000,0.750000,0.000013,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
253,53,1,26.750000,0.750000,0.000018,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
254,54,1,27.250000,0.750000,0.000025,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
255,55,1,27.750000,0.750000,0.000034,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
256,56,1,28.250000,0.750000,0.000047,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
257,57,1,28.750000,0.750000,0.000063,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
258,58,1,29.250000,0.750000,0.000084,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
259,59,1,29.750000,0.750000,0.000112,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
260,60,1,30.250000,0.750000,0.000147,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
261,61,1,30.750000,0.750000,0.000193,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
262,62,1,31.250000,0.750000,0.000252,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
263,63,1,31.750000,0.750000,0.000326,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
264,64,1,32.250000,0.750000,0.000418,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
265,65,1,32.750000,0.750000,0.000533,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
266,66,1,33.250000,0.750000,0.000675,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
267,67,1,33.750000,0.750000,0.000849,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
268,68,1,34.250000,0.750000,0.001060,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
269,69,1,34.750000,0.750000,0.001315,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
270,70,1,35.250000,0.750000,0.001619,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
271,71,1,35.750000,0.750000,0.001980,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
272,72,1,36.250000,0.750000,0.002405,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
273,73,1,36.750000,0.750000,0.002901,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
274,74,1,37.250000,0.750000,0.003475,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
275,75,1,37.750000,0.750000,0.004134,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
276,76,1,38.250000,0.750000,0.004884,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
277,77,1,38.750000,0.750000,0.005730,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
278,78,1,39.250000,0.750000,0.006676,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
279,79,1,39.750000,0.750000,0.007724,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
280,80,1,40.250000,0.750000,0.008875,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
281,81,1,40.750000,0.750000,0.010126,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
282,82,1,41.250000,0.750000,0.011475,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
283,83,1,41.750000,0.750000,0.012912,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
284,84,1,42.250000,0.750000,0.014430,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
285,85,1,42.750000,0.750000,0.016014,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
286,86,1,43.250000,0.750000,0.017649,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
287,87,1,43.750000,0.750000,0.019317,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
288,88,1,44.250000,0.750000,0.020995,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
289,89,1,44.750000,0.750000,0.022662,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
290,90,1,45.250000,0.750000,0.024292,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
291,91,1,45.750000,0.750000,0.025858,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
292,92,1,46.250000,0.750000,0.027336,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
293,93,1,46.750000,0.750000,0.028697,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
294,94,1,47.250000,0.750000,0.029918,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
295,95,1,47.750000,0.750000,0.030975,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
296,96,1,48.250000,0.750000,0.031848,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
297,97,1,48.750000,0.750000,0.032518,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
298,98,1,49.250000,0.750000,0.032973,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
299,99,1,49.750000,0.750000,0.033203,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
300,100,1,50.250000,0.750000,0.033203,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
301,101,1,50.750000,0.750000,0.032973,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
302,102,1,51.250000,0.750000,0.032518,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
303,103,1,51.750000,0.750000,0.031848,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
304,104,1,52.250000,0.750000,0.030975,1,149.812500,0.043633,149.812500,149.812500,0.043633,0.043633
