cell,ix,iz,x_mm,z_mm,total_weight,num_slots,mean_E_MeV,mean_theta_rad,min_E_MeV,max_E_MeV,min_theta_rad,max_theta_rad
843,43,8,43.500000,8.500000,0.004955,31,146.275040,0.010133,144.875000,148.625000,-0.068056,0.087500
844,44,8,44.500000,8.500000,0.044595,127,146.175018,0.009273,144.125000,148.875000,-0.087500,0.087500
845,45,8,45.500000,8.500000,0.107029,140,146.099609,0.009283,144.375000,149.375000,-0.068056,0.087500
846,46,8,46.500000,8.500000,0.117930,128,146.116547,0.009929,144.125000,148.625000,-0.087500,0.106944
847,47,8,47.500000,8.500000,0.089191,128,146.127777,0.010048,143.625000,148.875000,-0.087500,0.106944
848,48,8,48.500000,8.500000,0.063425,132,146.195343,0.009148,144.125000,148.875000,-0.068056,0.087500
849,49,8,49.500000,8.500000,0.072344,126,146.083923,0.009999,143.875000,148.375000,-0.068056,0.087500
850,50,8,50.500000,8.500000,0.061443,122,146.133072,0.009430,143.375000,148.375000,-0.087500,0.087500
851,51,8,51.500000,8.500000,0.080272,130,146.118820,0.009478,143.875000,148.875000,-0.087500,0.087500
852,52,8,52.500000,8.500000,0.069371,116,146.100037,0.009843,143.625000,148.375000,-0.087500,0.106944
853,53,8,53.500000,8.500000,0.112975,140,146.168839,0.009976,143.125000,148.125000,-0.087500,0.087500
854,54,8,54.500000,8.500000,0.099101,129,146.117493,0.009572,143.625000,148.625000,-0.087500,0.106944
855,55,8,55.500000,8.500000,0.061443,132,146.145172,0.009753,142.375000,148.375000,-0.068056,0.106944
856,56,8,56.500000,8.500000,0.006937,50,145.982132,0.010157,143.625000,147.625000,-0.068056,0.087500
