iter,cell,ix,iz,slot,bid,lidx,weight,b_theta,b_E,theta_local,E_local,x_sub,z_sub,theta_bin,E_bin,theta_rep,E_rep,x_offset_mm,z_offset_mm
100,10043,43,100,0,782340,32,0.00007338,4,191,0,0,4,0,16,382,-0.02916668,88.37500000,0.06250000,-0.37500000
100,10043,43,100,0,782340,33,0.00008228,4,191,1,0,4,0,17,382,-0.00972225,88.37500000,0.06250000,-0.37500000
100,10043,43,100,0,782340,34,0.00013661,4,191,2,0,4,0,18,382,0.00972220,88.37500000,0.06250000,-0.37500000
100,10043,43,100,0,782340,35,0.00051353,4,191,3,0,4,0,19,382,0.02916665,88.37500000,0.06250000,-0.37500000
100,10043,43,100,0,782340,36,0.00003687,4,191,0,1,4,0,16,383,-0.02916668,88.62500000,0.06250000,-0.37500000
100,10043,43,100,0,782340,37,0.00012301,4,191,1,1,4,0,17,383,-0.00972225,88.62500000,0.06250000,-0.37500000
100,10043,43,100,0,782340,38,0.00017044,4,191,2,1,4,0,18,383,0.00972220,88.62500000,0.06250000,-0.37500000
100,10043,43,100,0,782340,39,0.00037693,4,191,3,1,4,0,19,383,0.02916665,88.62500000,0.06250000,-0.37500000
100,10043,43,100,1,782339,32,0.00000005,3,191,0,0,4,0,12,382,-0.10694446,88.37500000,0.06250000,-0.37500000
100,10043,43,100,1,782339,33,0.00000017,3,191,1,0,4,0,13,382,-0.08750001,88.37500000,0.06250000,-0.37500000
100,10043,43,100,1,782339,34,0.00000228,3,191,2,0,4,0,14,382,-0.06805556,88.37500000,0.06250000,-0.37500000
100,10043,43,100,1,782339,35,0.00002507,3,191,3,0,4,0,15,382,-0.04861112,88.37500000,0.06250000,-0.37500000
100,10043,43,100,1,782339,36,0.00000006,3,191,0,1,4,0,12,383,-0.10694446,88.62500000,0.06250000,-0.37500000
100,10043,43,100,1,782339,37,0.00000057,3,191,1,1,4,0,13,383,-0.08750001,88.62500000,0.06250000,-0.37500000
100,10043,43,100,1,782339,38,0.00000441,3,191,2,1,4,0,14,383,-0.06805556,88.62500000,0.06250000,-0.37500000
100,10043,43,100,1,782339,39,0.00001259,3,191,3,1,4,0,15,383,-0.04861112,88.62500000,0.06250000,-0.37500000
100,10043,43,100,2,782341,32,0.00003768,5,191,0,0,4,0,20,382,0.04861109,88.37500000,0.06250000,-0.37500000
100,10043,43,100,2,782341,33,0.00001355,5,191,1,0,4,0,21,382,0.06805554,88.37500000,0.06250000,-0.37500000
100,10043,43,100,2,782341,34,0.00000412,5,191,2,0,4,0,22,382,0.08749999,88.37500000,0.06250000,-0.37500000
100,10043,43,100,2,782341,35,0.00000097,5,191,3,0,4,0,23,382,0.10694443,88.37500000,0.06250000,-0.37500000
100,10043,43,100,2,782341,36,0.00011454,5,191,0,1,4,0,20,383,0.04861109,88.62500000,0.06250000,-0.37500000
100,10043,43,100,2,782341,37,0.00004220,5,191,1,1,4,0,21,383,0.06805554,88.62500000,0.06250000,-0.37500000
100,10043,43,100,2,782341,38,0.00000775,5,191,2,1,4,0,22,383,0.08749999,88.62500000,0.06250000,-0.37500000
100,10043,43,100,2,782341,39,0.00000062,5,191,3,1,4,0,23,383,0.10694443,88.62500000,0.06250000,-0.37500000
100,10043,43,100,3,782342,32,0.00000030,6,191,0,0,4,0,24,382,0.12638886,88.37500000,0.06250000,-0.37500000
100,10043,43,100,3,782342,33,0.00000001,6,191,1,0,4,0,25,382,0.14583330,88.37500000,0.06250000,-0.37500000
100,10043,43,100,3,782342,34,0.00000000,6,191,2,0,4,0,26,382,0.16527775,88.37500000,0.06250000,-0.37500000
100,10043,43,100,3,782342,35,0.00000000,6,191,3,0,4,0,27,382,0.18472221,88.37500000,0.06250000,-0.37500000
100,10043,43,100,3,782342,36,0.00000006,6,191,0,1,4,0,24,383,0.12638886,88.62500000,0.06250000,-0.37500000
100,10043,43,100,3,782342,37,0.00000001,6,191,1,1,4,0,25,383,0.14583330,88.62500000,0.06250000,-0.37500000
100,10043,43,100,3,782342,38,0.00000000,6,191,2,1,4,0,26,383,0.16527775,88.62500000,0.06250000,-0.37500000
100,10043,43,100,3,782342,39,0.00000000,6,191,3,1,4,0,27,383,0.18472221,88.62500000,0.06250000,-0.37500000
100,10043,43,100,5,782338,33,0.00000000,2,191,1,0,4,0,9,382,-0.16527778,88.37500000,0.06250000,-0.37500000
100,10043,43,100,5,782338,34,0.00000000,2,191,2,0,4,0,10,382,-0.14583334,88.37500000,0.06250000,-0.37500000
100,10043,43,100,5,782338,35,0.00000000,2,191,3,0,4,0,11,382,-0.12638889,88.37500000,0.06250000,-0.37500000
100,10043,43,100,5,782338,37,0.00000000,2,191,1,1,4,0,9,383,-0.16527778,88.62500000,0.06250000,-0.37500000
100,10043,43,100,5,782338,38,0.00000000,2,191,2,1,4,0,10,383,-0.14583334,88.62500000,0.06250000,-0.37500000
100,10043,43,100,5,782338,39,0.00000001,2,191,3,1,4,0,11,383,-0.12638889,88.62500000,0.06250000,-0.37500000
100,10043,43,100,6,782337,35,0.00000000,1,191,3,0,4,0,7,382,-0.20416667,88.37500000,0.06250000,-0.37500000
100,10043,43,100,7,811012,36,0.00009945,4,198,0,1,4,0,16,397,-0.02916668,92.12500000,0.06250000,-0.37500000
100,10043,43,100,7,811012,37,0.00015750,4,198,1,1,4,0,17,397,-0.00972225,92.12500000,0.06250000,-0.37500000
100,10043,43,100,7,811012,38,0.00037264,4,198,2,1,4,0,18,397,0.00972220,92.12500000,0.06250000,-0.37500000
100,10043,43,100,7,811012,39,0.00020546,4,198,3,1,4,0,19,397,0.02916665,92.12500000,0.06250000,-0.37500000
100,10043,43,100,8,811013,36,0.00002118,5,198,0,1,4,0,20,397,0.04861109,92.12500000,0.06250000,-0.37500000
100,10043,43,100,8,811013,37,0.00000839,5,198,1,1,4,0,21,397,0.06805554,92.12500000,0.06250000,-0.37500000
