cell,ix,iz,x_mm,z_mm,total_weight,num_slots,mean_E_MeV,mean_theta_rad,min_E_MeV,max_E_MeV,min_theta_rad,max_theta_rad
10043,43,100,43.500000,100.500000,0.004450,98,88.525452,0.012030,86.375000,92.125000,-0.204167,0.184722
10044,44,100,44.500000,100.500000,0.040052,126,88.858505,0.010139,88.125000,90.875000,-0.204167,0.223611
10045,45,100,45.500000,100.500000,0.096119,136,88.245461,0.009140,87.125000,89.375000,-0.204167,0.243056
10046,46,100,46.500000,100.500000,0.105908,132,87.694374,0.009772,86.125000,88.125000,-0.204167,0.223611
10047,47,100,47.500000,100.500000,0.080100,157,88.077858,0.007837,86.625000,89.125000,-0.204167,0.223611
10048,48,100,48.500000,100.500000,0.056961,137,88.382935,0.009215,86.875000,90.125000,-0.204167,0.223611
10049,49,100,49.500000,100.500000,0.064968,132,87.580521,0.007359,85.625000,88.125000,-0.184722,0.223611
10050,50,100,50.500000,100.500000,0.055181,134,88.496109,0.006134,86.875000,89.875000,-0.204167,0.204167
10051,51,100,51.500000,100.500000,0.072091,126,88.538757,0.008161,87.375000,89.875000,-0.204167,0.243056
10052,52,100,52.500000,100.500000,0.062300,130,88.168007,0.011283,86.125000,89.375000,-0.204167,0.204167
10053,53,100,53.500000,100.500000,0.101461,138,88.368507,0.006284,87.125000,89.125000,-0.204167,0.223611
10054,54,100,54.500000,100.500000,0.088999,124,88.017662,0.008358,85.625000,88.875000,-0.184722,0.243056
10055,55,100,55.500000,100.500000,0.055181,142,87.713814,0.009611,86.125000,88.125000,-0.204167,0.204167
10056,56,100,56.500000,100.500000,0.006230,121,88.232620,0.009888,84.625000,90.625000,-0.184722,0.204167
