iter,cell,ix,iz,slot,bid,lidx,weight,b_theta,b_E,theta_local,E_local,x_sub,z_sub,theta_bin,E_bin,theta_rep,E_rep,x_offset_mm,z_offset_mm
150,15043,43,150,0,356356,36,0.00006236,4,87,0,1,4,0,16,175,-0.02916668,36.62500000,0.06250000,-0.37500000
150,15043,43,150,0,356356,37,0.00021398,4,87,1,1,4,0,17,175,-0.00972225,36.62500000,0.06250000,-0.37500000
150,15043,43,150,0,356356,38,0.00003020,4,87,2,1,4,0,18,175,0.00972220,36.62500000,0.06250000,-0.37500000
150,15043,43,150,0,356356,39,0.00032728,4,87,3,1,4,0,19,175,0.02916665,36.62500000,0.06250000,-0.37500000
150,15043,43,150,1,356355,36,0.00000246,3,87,0,1,4,0,12,175,-0.10694446,36.62500000,0.06250000,-0.37500000
150,15043,43,150,1,356355,37,0.00002316,3,87,1,1,4,0,13,175,-0.08750001,36.62500000,0.06250000,-0.37500000
150,15043,43,150,1,356355,38,0.00007217,3,87,2,1,4,0,14,175,-0.06805556,36.62500000,0.06250000,-0.37500000
150,15043,43,150,1,356355,39,0.00000973,3,87,3,1,4,0,15,175,-0.04861112,36.62500000,0.06250000,-0.37500000
150,15043,43,150,2,356357,36,0.00006355,5,87,0,1,4,0,20,175,0.04861109,36.62500000,0.06250000,-0.37500000
150,15043,43,150,2,356357,37,0.00000827,5,87,1,1,4,0,21,175,0.06805554,36.62500000,0.06250000,-0.37500000
150,15043,43,150,2,356357,38,0.00000196,5,87,2,1,4,0,22,175,0.08749999,36.62500000,0.06250000,-0.37500000
150,15043,43,150,2,356357,39,0.00000021,5,87,3,1,4,0,23,175,0.10694443,36.62500000,0.06250000,-0.37500000
150,15043,43,150,3,356358,36,0.00001181,6,87,0,1,4,0,24,175,0.12638886,36.62500000,0.06250000,-0.37500000
150,15043,43,150,3,356358,37,0.00000647,6,87,1,1,4,0,25,175,0.14583330,36.62500000,0.06250000,-0.37500000
150,15043,43,150,3,356358,38,0.00000001,6,87,2,1,4,0,26,175,0.16527775,36.62500000,0.06250000,-0.37500000
150,15043,43,150,3,356358,39,0.00000012,6,87,3,1,4,0,27,175,0.18472221,36.62500000,0.06250000,-0.37500000
150,15043,43,150,4,356354,36,0.00000013,2,87,0,1,4,0,8,175,-0.18472223,36.62500000,0.06250000,-0.37500000
150,15043,43,150,4,356354,37,0.00000001,2,87,1,1,4,0,9,175,-0.16527778,36.62500000,0.06250000,-0.37500000
150,15043,43,150,4,356354,38,0.00000008,2,87,2,1,4,0,10,175,-0.14583334,36.62500000,0.06250000,-0.37500000
150,15043,43,150,4,356354,39,0.00000081,2,87,3,1,4,0,11,175,-0.12638889,36.62500000,0.06250000,-0.37500000
150,15043,43,150,5,356353,37,0.00000000,1,87,1,1,4,0,5,175,-0.24305555,36.62500000,0.06250000,-0.37500000
150,15043,43,150,5,356353,38,0.00000004,1,87,2,1,4,0,6,175,-0.22361112,36.62500000,0.06250000,-0.37500000
150,15043,43,150,5,356353,39,0.00000002,1,87,3,1,4,0,7,175,-0.20416667,36.62500000,0.06250000,-0.37500000
150,15043,43,150,6,356359,36,0.00000001,7,87,0,1,4,0,28,175,0.20416665,36.62500000,0.06250000,-0.37500000
150,15043,43,150,6,356359,37,0.00000000,7,87,1,1,4,0,29,175,0.22361109,36.62500000,0.06250000,-0.37500000
150,15043,43,150,6,356359,38,0.00000000,7,87,2,1,4,0,30,175,0.24305552,36.62500000,0.06250000,-0.37500000
