cell,ix,iz,x_mm,z_mm,total_weight,num_slots,mean_E_MeV,mean_theta_rad,min_E_MeV,max_E_MeV,min_theta_rad,max_theta_rad
2052,52,10,26.250000,5.250000,0.000013,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2053,53,10,26.750000,5.250000,0.000018,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2054,54,10,27.250000,5.250000,0.000025,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2055,55,10,27.750000,5.250000,0.000034,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2056,56,10,28.250000,5.250000,0.000046,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2057,57,10,28.750000,5.250000,0.000062,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2058,58,10,29.250000,5.250000,0.000084,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2059,59,10,29.750000,5.250000,0.000111,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2060,60,10,30.250000,5.250000,0.000147,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2061,61,10,30.750000,5.250000,0.000193,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2062,62,10,31.250000,5.250000,0.000251,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2063,63,10,31.750000,5.250000,0.000324,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2064,64,10,32.250000,5.250000,0.000416,1,147.312500,0.043633,147.312500,147.312500,0.043633,0.043633
2065,65,10,32.750000,5.250000,0.000531,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2066,66,10,33.250000,5.250000,0.000672,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2067,67,10,33.750000,5.250000,0.000845,1,147.562500,0.130900,147.562500,147.562500,0.130900,0.130900
2068,68,10,34.250000,5.250000,0.001055,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2069,69,10,34.750000,5.250000,0.001309,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2070,70,10,35.250000,5.250000,0.001612,1,147.312500,0.043633,147.312500,147.312500,0.043633,0.043633
2071,71,10,35.750000,5.250000,0.001972,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2072,72,10,36.250000,5.250000,0.002395,1,147.312500,0.043633,147.312500,147.312500,0.043633,0.043633
2073,73,10,36.750000,5.250000,0.002888,1,147.312500,0.130900,147.312500,147.312500,0.130900,0.130900
2074,74,10,37.250000,5.250000,0.003460,1,147.562500,0.130900,147.562500,147.562500,0.130900,0.130900
2075,75,10,37.750000,5.250000,0.004116,1,147.562500,0.130900,147.562500,147.562500,0.130900,0.130900
2076,76,10,38.250000,5.250000,0.004863,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2077,77,10,38.750000,5.250000,0.005705,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2078,78,10,39.250000,5.250000,0.006646,1,147.562500,0.130900,147.562500,147.562500,0.130900,0.130900
2079,79,10,39.750000,5.250000,0.007690,1,147.562500,0.130900,147.562500,147.562500,0.130900,0.130900
2080,80,10,40.250000,5.250000,0.008836,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2081,81,10,40.750000,5.250000,0.010082,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2082,82,10,41.250000,5.250000,0.011424,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2083,83,10,41.750000,5.250000,0.012856,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2084,84,10,42.250000,5.250000,0.014367,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2085,85,10,42.750000,5.250000,0.015943,1,147.562500,0.130900,147.562500,147.562500,0.130900,0.130900
2086,86,10,43.250000,5.250000,0.017572,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2087,87,10,43.750000,5.250000,0.019232,1,147.562500,0.130900,147.562500,147.562500,0.130900,0.130900
2088,88,10,44.250000,5.250000,0.020903,1,147.562500,0.130900,147.562500,147.562500,0.130900,0.130900
2089,89,10,44.750000,5.250000,0.022562,1,147.562500,0.130900,147.562500,147.562500,0.130900,0.130900
2090,90,10,45.250000,5.250000,0.024185,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2091,91,10,45.750000,5.250000,0.025745,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2092,92,10,46.250000,5.250000,0.027215,1,147.562500,0.130900,147.562500,147.562500,0.130900,0.130900
2093,93,10,46.750000,5.250000,0.028571,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2094,94,10,47.250000,5.250000,0.029787,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2095,95,10,47.750000,5.250000,0.030839,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2096,96,10,48.250000,5.250000,0.031707,1,147.562500,0.130900,147.562500,147.562500,0.130900,0.130900
2097,97,10,48.750000,5.250000,0.032376,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2098,98,10,49.250000,5.250000,0.032828,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2099,99,10,49.750000,5.250000,0.033057,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
2100,100,10,50.250000,5.250000,0.033057,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
