iter,cell,ix,iz,slot,bid,lidx,weight,b_theta,b_E,theta_local,E_local,x_sub,z_sub,theta_bin,E_bin,theta_rep,E_rep,x_offset_mm,z_offset_mm
2,243,43,2,0,1277956,36,0.00000005,4,312,0,1,4,0,16,625,-0.02916668,149.12500000,0.06250000,-0.37500000
2,243,43,2,0,1277956,37,0.00001020,4,312,1,1,4,0,17,625,-0.00972225,149.12500000,0.06250000,-0.37500000
2,243,43,2,0,1277956,38,0.00098750,4,312,2,1,4,0,18,625,0.00972220,149.12500000,0.06250000,-0.37500000
2,243,43,2,1,1298436,38,0.00097303,4,317,2,1,4,0,18,635,0.00972220,151.62500000,0.06250000,-0.37500000
2,243,43,2,1,1298436,39,0.00002471,4,317,3,1,4,0,19,635,0.02916665,151.62500000,0.06250000,-0.37500000
2,243,43,2,2,1298437,36,0.00000001,5,317,0,1,4,0,20,635,0.04861109,151.62500000,0.06250000,-0.37500000
2,243,43,2,3,1282052,34,0.00099742,4,313,2,0,4,0,18,626,0.00972220,149.37500000,0.06250000,-0.37500000
2,243,43,2,3,1282052,35,0.00000033,4,313,3,0,4,0,19,626,0.02916665,149.37500000,0.06250000,-0.37500000
2,243,43,2,4,1273860,34,0.00097630,4,311,2,0,4,0,18,622,0.00972220,148.37500000,0.06250000,-0.37500000
2,243,43,2,4,1273860,35,0.00002145,4,311,3,0,4,0,19,622,0.02916665,148.37500000,0.06250000,-0.37500000
2,243,43,2,5,1269764,32,0.00000006,4,310,0,0,4,0,16,620,-0.02916668,147.87500000,0.06250000,-0.37500000
2,243,43,2,5,1269764,33,0.00002057,4,310,1,0,4,0,17,620,-0.00972225,147.87500000,0.06250000,-0.37500000
2,243,43,2,5,1269764,34,0.00097712,4,310,2,0,4,0,18,620,0.00972220,147.87500000,0.06250000,-0.37500000
2,244,44,2,0,1290244,33,0.00027473,4,315,1,0,4,0,17,630,-0.00972225,150.37500000,0.06250000,-0.37500000
2,244,44,2,0,1290244,34,0.00271852,4,315,2,0,4,0,18,630,0.00972220,150.37500000,0.06250000,-0.37500000
2,244,44,2,0,1290244,38,0.00198165,4,315,2,1,4,0,18,631,0.00972220,150.62500000,0.06250000,-0.37500000
2,244,44,2,0,1290244,39,0.00001383,4,315,3,1,4,0,19,631,0.02916665,150.62500000,0.06250000,-0.37500000
2,244,44,2,1,1290245,36,0.00000002,5,315,0,1,4,0,20,631,0.04861109,150.62500000,0.06250000,-0.37500000
2,244,44,2,2,1282052,33,0.00001538,4,313,1,0,4,0,17,626,-0.00972225,149.37500000,0.06250000,-0.37500000
2,244,44,2,2,1282052,34,0.00396032,4,313,2,0,4,0,18,626,0.00972220,149.37500000,0.06250000,-0.37500000
2,244,44,2,2,1282052,35,0.00001503,4,313,3,0,4,0,19,626,0.02916665,149.37500000,0.06250000,-0.37500000
2,244,44,2,2,1282052,36,0.00000048,4,313,0,1,4,0,16,627,-0.02916668,149.62500000,0.06250000,-0.37500000
2,244,44,2,2,1282052,37,0.00013579,4,313,1,1,4,0,17,627,-0.00972225,149.62500000,0.06250000,-0.37500000
2,244,44,2,2,1282052,38,0.00572330,4,313,2,1,4,0,18,627,0.00972220,149.62500000,0.06250000,-0.37500000
2,244,44,2,2,1282052,39,0.00012693,4,313,3,1,4,0,19,627,0.02916665,149.62500000,0.06250000,-0.37500000
2,244,44,2,3,1282053,32,0.00000027,5,313,0,0,4,0,20,626,0.04861109,149.37500000,0.06250000,-0.37500000
2,244,44,2,4,1298436,37,0.00000009,4,317,1,1,4,0,17,635,-0.00972225,151.62500000,0.06250000,-0.37500000
2,244,44,2,4,1298436,38,0.00095855,4,317,2,1,4,0,18,635,0.00972220,151.62500000,0.06250000,-0.37500000
2,244,44,2,4,1298436,39,0.00003911,4,317,3,1,4,0,19,635,0.02916665,151.62500000,0.06250000,-0.37500000
2,244,44,2,5,1277956,32,0.00000002,4,312,0,0,4,0,16,624,-0.02916668,148.87500000,0.06250000,-0.37500000
2,244,44,2,5,1277956,33,0.00001324,4,312,1,0,4,0,17,624,-0.00972225,148.87500000,0.06250000,-0.37500000
2,244,44,2,5,1277956,34,0.00296775,4,312,2,0,4,0,18,624,0.00972220,148.87500000,0.06250000,-0.37500000
2,244,44,2,5,1277956,35,0.00001223,4,312,3,0,4,0,19,624,0.02916665,148.87500000,0.06250000,-0.37500000
2,244,44,2,5,1277956,37,0.00004099,4,312,1,1,4,0,17,625,-0.00972225,149.12500000,0.06250000,-0.37500000
2,244,44,2,5,1277956,38,0.00682065,4,312,2,1,4,0,18,625,0.00972220,149.12500000,0.06250000,-0.37500000
2,244,44,2,5,1277956,39,0.00012260,4,312,3,1,4,0,19,625,0.02916665,149.12500000,0.06250000,-0.37500000
2,244,44,2,6,1273860,33,0.00024373,4,311,1,0,4,0,17,622,-0.00972225,148.37500000,0.06250000,-0.37500000
2,244,44,2,6,1273860,34,0.00374569,4,311,2,0,4,0,18,622,0.00972220,148.37500000,0.06250000,-0.37500000
2,244,44,2,6,1273860,35,0.00000156,4,311,3,0,4,0,19,622,0.02916665,148.37500000,0.06250000,-0.37500000
2,244,44,2,7,1269764,32,0.00000017,4,310,0,0,4,0,16,620,-0.02916668,147.87500000,0.06250000,-0.37500000
2,244,44,2,7,1269764,33,0.00018365,4,310,1,0,4,0,17,620,-0.00972225,147.87500000,0.06250000,-0.37500000
2,244,44,2,7,1269764,34,0.00480411,4,310,2,0,4,0,18,620,0.00972220,147.87500000,0.06250000,-0.37500000
2,244,44,2,7,1269764,35,0.00000080,4,310,3,0,4,0,19,620,0.02916665,147.87500000,0.06250000,-0.37500000
2,244,44,2,7,1269764,36,0.00000007,4,310,0,1,4,0,16,621,-0.02916668,148.12500000,0.06250000,-0.37500000
2,244,44,2,7,1269764,37,0.00003899,4,310,1,1,4,0,17,621,-0.00972225,148.12500000,0.06250000,-0.37500000
2,244,44,2,7,1269764,38,0.00288031,4,310,2,1,4,0,18,621,0.00972220,148.12500000,0.06250000,-0.37500000
2,244,44,2,7,1269764,39,0.00007386,4,310,3,1,4,0,19,621,0.02916665,148.12500000,0.06250000,-0.37500000
2,244,44,2,8,1265668,32,0.00000006,4,309,0,0,4,0,16,618,-0.02916668,147.37500000,0.06250000,-0.37500000
2,244,44,2,8,1265668,33,0.00000221,4,309,1,0,4,0,17,618,-0.00972225,147.37500000,0.06250000,-0.37500000
2,244,44,2,8,1265668,34,0.00099084,4,309,2,0,4,0,18,618,0.00972220,147.37500000,0.06250000,-0.37500000
2,244,44,2,8,1265668,35,0.00000464,4,309,3,0,4,0,19,618,0.02916665,147.37500000,0.06250000,-0.37500000
2,244,44,2,8,1265668,38,0.00099094,4,309,2,1,4,0,18,619,0.00972220,147.62500000,0.06250000,-0.37500000
2,244,44,2,8,1265668,39,0.00000680,4,309,3,1,4,0,19,619,0.02916665,147.62500000,0.06250000,-0.37500000
2,244,44,2,9,1302532,34,0.00197232,4,318,2,0,4,0,18,636,0.00972220,151.87500000,0.06250000,-0.37500000
2,244,44,2,9,1302532,35,0.00002317,4,318,3,0,4,0,19,636,0.02916665,151.87500000,0.06250000,-0.37500000
2,244,44,2,10,1302533,32,0.00000002,5,318,0,0,4,0,20,636,0.04861109,151.87500000,0.06250000,-0.37500000
2,244,44,2,11,1286148,32,0.00000037,4,314,0,0,4,0,16,628,-0.02916668,149.87500000,0.06250000,-0.37500000
2,244,44,2,11,1286148,33,0.00012227,4,314,1,0,4,0,17,628,-0.00972225,149.87500000,0.06250000,-0.37500000
2,244,44,2,11,1286148,34,0.00087511,4,314,2,0,4,0,18,628,0.00972220,149.87500000,0.06250000,-0.37500000
2,244,44,2,11,1286148,37,0.00000175,4,314,1,1,4,0,17,629,-0.00972225,150.12500000,0.06250000,-0.37500000
