iter,cell,ix,iz,slot,bid,lidx,weight,b_theta,b_E,theta_local,E_local,x_sub,z_sub,theta_bin,E_bin,theta_rep,E_rep,x_offset_mm,z_offset_mm
1,143,43,1,0,1282052,37,0.00000620,4,313,1,1,4,0,17,627,-0.00972225,149.62500000,0.06250000,-0.37500000
1,143,43,1,0,1282052,38,0.00099267,4,313,2,1,4,0,18,627,0.00972220,149.62500000,0.06250000,-0.37500000
1,143,43,1,1,1302532,38,0.00099178,4,318,2,1,4,0,18,637,0.00972220,152.12500000,0.06250000,-0.37500000
1,143,43,1,1,1302532,39,0.00000710,4,318,3,1,4,0,19,637,0.02916665,152.12500000,0.06250000,-0.37500000
1,143,43,1,2,1286148,34,0.00099857,4,314,2,0,4,0,18,628,0.00972220,149.87500000,0.06250000,-0.37500000
1,143,43,1,2,1286148,35,0.00000030,4,314,3,0,4,0,19,628,0.02916665,149.87500000,0.06250000,-0.37500000
1,143,43,1,3,1277956,34,0.00099233,4,312,2,0,4,0,18,624,0.00972220,148.87500000,0.06250000,-0.37500000
1,143,43,1,3,1277956,35,0.00000654,4,312,3,0,4,0,19,624,0.02916665,148.87500000,0.06250000,-0.37500000
1,143,43,1,4,1273860,33,0.00000786,4,311,1,0,4,0,17,622,-0.00972225,148.37500000,0.06250000,-0.37500000
1,143,43,1,4,1273860,34,0.00099101,4,311,2,0,4,0,18,622,0.00972220,148.37500000,0.06250000,-0.37500000
1,144,44,1,0,1294340,33,0.00002659,4,316,1,0,4,0,17,632,-0.00972225,150.87500000,0.06250000,-0.37500000
1,144,44,1,0,1294340,34,0.00297004,4,316,2,0,4,0,18,632,0.00972220,150.87500000,0.06250000,-0.37500000
1,144,44,1,0,1294340,38,0.00198398,4,316,2,1,4,0,18,633,0.00972220,151.12500000,0.06250000,-0.37500000
1,144,44,1,0,1294340,39,0.00001377,4,316,3,1,4,0,19,633,0.02916665,151.12500000,0.06250000,-0.37500000
1,144,44,1,1,1286148,33,0.00001344,4,314,1,0,4,0,17,628,-0.00972225,149.87500000,0.06250000,-0.37500000
