cell,ix,iz,x_mm,z_mm,total_weight,num_slots,mean_E_MeV,mean_theta_rad,min_E_MeV,max_E_MeV,min_theta_rad,max_theta_rad
1852,52,9,26.250000,4.750000,0.000013,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1853,53,9,26.750000,4.750000,0.000018,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1854,54,9,27.250000,4.750000,0.000025,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1855,55,9,27.750000,4.750000,0.000034,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1856,56,9,28.250000,4.750000,0.000046,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1857,57,9,28.750000,4.750000,0.000063,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1858,58,9,29.250000,4.750000,0.000084,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1859,59,9,29.750000,4.750000,0.000111,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1860,60,9,30.250000,4.750000,0.000147,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1861,61,9,30.750000,4.750000,0.000193,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1862,62,9,31.250000,4.750000,0.000251,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1863,63,9,31.750000,4.750000,0.000324,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1864,64,9,32.250000,4.750000,0.000416,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
1865,65,9,32.750000,4.750000,0.000531,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1866,66,9,33.250000,4.750000,0.000672,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1867,67,9,33.750000,4.750000,0.000845,1,147.812500,0.130900,147.812500,147.812500,0.130900,0.130900
1868,68,9,34.250000,4.750000,0.001056,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1869,69,9,34.750000,4.750000,0.001309,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1870,70,9,35.250000,4.750000,0.001613,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
1871,71,9,35.750000,4.750000,0.001972,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1872,72,9,36.250000,4.750000,0.002396,1,147.562500,0.043633,147.562500,147.562500,0.043633,0.043633
1873,73,9,36.750000,4.750000,0.002890,1,147.562500,0.130900,147.562500,147.562500,0.130900,0.130900
1874,74,9,37.250000,4.750000,0.003462,1,147.812500,0.130900,147.812500,147.812500,0.130900,0.130900
1875,75,9,37.750000,4.750000,0.004118,1,147.812500,0.130900,147.812500,147.812500,0.130900,0.130900
1876,76,9,38.250000,4.750000,0.004865,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1877,77,9,38.750000,4.750000,0.005708,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1878,78,9,39.250000,4.750000,0.006650,1,147.812500,0.130900,147.812500,147.812500,0.130900,0.130900
1879,79,9,39.750000,4.750000,0.007694,1,147.812500,0.130900,147.812500,147.812500,0.130900,0.130900
1880,80,9,40.250000,4.750000,0.008840,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1881,81,9,40.750000,4.750000,0.010087,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1882,82,9,41.250000,4.750000,0.011430,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1883,83,9,41.750000,4.750000,0.012862,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1884,84,9,42.250000,4.750000,0.014374,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1885,85,9,42.750000,4.750000,0.015951,1,147.812500,0.130900,147.812500,147.812500,0.130900,0.130900
1886,86,9,43.250000,4.750000,0.017581,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1887,87,9,43.750000,4.750000,0.019241,1,147.812500,0.130900,147.812500,147.812500,0.130900,0.130900
1888,88,9,44.250000,4.750000,0.020913,1,147.812500,0.130900,147.812500,147.812500,0.130900,0.130900
1889,89,9,44.750000,4.750000,0.022573,1,147.812500,0.130900,147.812500,147.812500,0.130900,0.130900
1890,90,9,45.250000,4.750000,0.024197,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1891,91,9,45.750000,4.750000,0.025758,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1892,92,9,46.250000,4.750000,0.027229,1,147.812500,0.130900,147.812500,147.812500,0.130900,0.130900
1893,93,9,46.750000,4.750000,0.028586,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1894,94,9,47.250000,4.750000,0.029802,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1895,95,9,47.750000,4.750000,0.030855,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1896,96,9,48.250000,4.750000,0.031723,1,147.812500,0.130900,147.812500,147.812500,0.130900,0.130900
1897,97,9,48.750000,4.750000,0.032392,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1898,98,9,49.250000,4.750000,0.032845,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1899,99,9,49.750000,4.750000,0.033074,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
1900,100,9,50.250000,4.750000,0.033074,1,147.812500,0.043633,147.812500,147.812500,0.043633,0.043633
