iter,cell,ix,iz,slot,bid,lidx,weight,b_theta,b_E,theta_local,E_local,x_sub,z_sub,theta_bin,E_bin,theta_rep,E_rep,x_offset_mm,z_offset_mm
7,743,43,7,0,1257476,36,0.00000043,4,307,0,1,4,0,16,615,-0.02916668,146.62500000,0.06250000,-0.37500000
7,743,43,7,0,1257476,37,0.00003283,4,307,1,1,4,0,17,615,-0.00972225,146.62500000,0.06250000,-0.37500000
7,743,43,7,0,1257476,38,0.00090972,4,307,2,1,4,0,18,615,0.00972220,146.62500000,0.06250000,-0.37500000
7,743,43,7,0,1257476,39,0.00004833,4,307,3,1,4,0,19,615,0.02916665,146.62500000,0.06250000,-0.37500000
7,743,43,7,1,1257475,39,0.00000001,3,307,3,1,4,0,15,615,-0.04861112,146.62500000,0.06250000,-0.37500000
7,743,43,7,2,1257477,36,0.00000080,5,307,0,1,4,0,20,615,0.04861109,146.62500000,0.06250000,-0.37500000
7,743,43,7,2,1257477,37,0.00000000,5,307,1,1,4,0,21,615,0.06805554,146.62500000,0.06250000,-0.37500000
7,743,43,7,3,1277956,38,0.00093659,4,312,2,1,4,0,18,625,0.00972220,149.12500000,0.06250000,-0.37500000
7,743,43,7,3,1277956,39,0.00005539,4,312,3,1,4,0,19,625,0.02916665,149.12500000,0.06250000,-0.37500000
7,743,43,7,4,1277957,36,0.00000017,5,312,0,1,4,0,20,625,0.04861109,149.12500000,0.06250000,-0.37500000
7,743,43,7,4,1277957,37,0.00000000,5,312,1,1,4,0,21,625,0.06805554,149.12500000,0.06250000,-0.37500000
7,743,43,7,4,1277957,38,0.00000000,5,312,2,1,4,0,22,625,0.08749999,149.12500000,0.06250000,-0.37500000
7,743,43,7,5,1261572,32,0.00000002,4,308,0,0,4,0,16,616,-0.02916668,146.87500000,0.06250000,-0.37500000
7,743,43,7,5,1261572,33,0.00001121,4,308,1,0,4,0,17,616,-0.00972225,146.87500000,0.06250000,-0.37500000
7,743,43,7,5,1261572,34,0.00097665,4,308,2,0,4,0,18,616,0.00972220,146.87500000,0.06250000,-0.37500000
7,743,43,7,5,1261572,35,0.00000419,4,308,3,0,4,0,19,616,0.02916665,146.87500000,0.06250000,-0.37500000
7,743,43,7,6,1261571,35,0.00000000,3,308,3,0,4,0,15,616,-0.04861112,146.87500000,0.06250000,-0.37500000
7,743,43,7,7,1261573,32,0.00000007,5,308,0,0,4,0,20,616,0.04861109,146.87500000,0.06250000,-0.37500000
7,743,43,7,7,1261573,33,0.00000000,5,308,1,0,4,0,21,616,0.06805554,146.87500000,0.06250000,-0.37500000
7,743,43,7,8,1253380,34,0.00090606,4,306,2,0,4,0,18,612,0.00972220,145.87500000,0.06250000,-0.37500000
