cell,ix,iz,x_mm,z_mm,total_weight,num_slots,mean_E_MeV,mean_theta_rad,min_E_MeV,max_E_MeV,min_theta_rad,max_theta_rad
15043,43,150,43.500000,150.500000,0.004174,109,37.127342,-0.003279,33.875000,44.125000,-0.320833,0.281944
15044,44,150,44.500000,150.500000,0.037574,114,37.347862,-0.036220,36.125000,41.625000,-0.262500,0.301389
15045,45,150,45.500000,150.500000,0.090163,109,36.717869,-0.000469,35.625000,38.125000,-0.301389,0.320833
15046,46,150,46.500000,150.500000,0.099325,111,34.013783,0.007272,31.375000,34.375000,-0.281944,0.340278
15047,47,150,47.500000,150.500000,0.075126,112,34.433495,-0.032014,32.625000,34.875000,-0.301389,0.340278
15048,48,150,48.500000,150.500000,0.053429,107,35.265755,-0.116216,33.875000,35.625000,-0.301389,0.301389
15049,49,150,49.500000,150.500000,0.060925,112,32.673038,-0.007611,30.375000,32.875000,-0.320833,0.301389
15050,50,150,50.500000,150.500000,0.051765,114,37.915607,-0.005923,37.125000,39.625000,-0.301389,0.301389
15051,51,150,51.500000,150.500000,0.067626,115,36.702900,-0.012012,34.375000,39.625000,-0.301389,0.320833
15052,52,150,52.500000,150.500000,0.058439,115,36.357323,0.002065,35.375000,37.125000,-0.301389,0.281944
15053,53,150,53.500000,150.500000,0.095175,129,36.493603,-0.037058,35.375000,37.125000,-0.281944,0.262500
15054,54,150,54.500000,150.500000,0.083480,113,35.882725,0.007252,34.375000,36.625000,-0.301389,0.320833
15055,55,150,55.500000,150.500000,0.051754,110,34.488098,0.002214,32.625000,34.875000,-0.340278,0.301389
15056,56,150,56.500000,150.500000,0.005843,113,34.197906,-0.062988,27.625000,35.625000,-0.281944,0.281944
