case,mode,n_theta,rows_in,rows_out,w_in,w_out,e_in_mean,e_out_mean,dE_sim,ds_used_mm,dE_pred_csda,dE_pred_sp,eps_dE_csda,eps_dE_sp,theta_in_mean,theta_out_mean,dtheta_mean,sigma_theta_pred,dtheta_bin,sigma_over_dtheta_bin,abs_dtheta_over_sigma,var_dtheta,r_theta,sigma_dE_k3,z_dE,source_total_energy,e_out_total,edep,e_cutoff,e_nuclear,e_boundary,e_transport_drop,e_audit_residual,source_rep_loss,closure_with_eout,closure_no_eout
A,K2,36,1,1,1.0,0.99943674,150.125,149.875,0.25,0.5,0.2721740974708382,0.27199854272602925,-0.0814702709658623,-0.08087742862720884,0.009722,0.0097222,2.0000000000054696e-07,0.0013581504037433198,0.17453292519943295,0.007781628607848099,0.0001472590954943643,0.0,0.0,0.0,nan,150.0,149.7905814075,0.272186,0.0,0.08456,0.0,0.0,-0.0223271,-0.125,-3.075000165608799e-07,149.7905811
B,K3,36,1,1,1.0,0.99950659,150.125,149.875,0.25,0.43795819714662926,0.24042269511704717,0.23824798279760434,0.0398352779395066,0.04932682772126216,0.009722,0.0097222,2.0000000000054696e-07,0.0012625650567757109,0.17453292519943295,0.007233964911394339,0.00015840767881799224,0.0,0.0,0.03175528550934556,0.30159719017907227,150.0,149.80105017625,0.250002,0.0,0.0740728,0.0,0.0,-0.000125075,-0.125,9.875000728243322e-08,149.801050275
C,K3,36,264,117,1.0,0.9995065200000001,150.125,149.875,0.25,0.43795819714662926,0.24042269511704717,0.23824798279760434,0.0398352779395066,0.04932682772126216,0.009722,0.009733197569109904,1.1197569109904285e-05,0.0012625650567757109,0.17453292519943295,0.007233964911394339,0.008868904655495691,1.729416480953218e-06,1.0849058786572179,0.03175528550934556,0.30159719017907227,150.0,149.801039685,0.249995,0.0,0.0740723,0.0,0.0,-0.000118702,-0.124994,5.716999993410354e-06,149.801045402
D,K3,360,264,147,1.0,0.99950661,150.125,149.875,0.25,0.4379377068782529,0.24041144011664528,0.23823683615132749,0.039883958428527544,0.04937592371819688,0.000972,0.0010921132347161766,0.00012011323471617665,0.0012625325078031403,0.017453292519943295,0.0723377841951876,0.09513674616202852,1.9041894330872963e-06,1.1946068822180478,0.0317536700971016,0.30196698063667105,150.0,149.80105317375,0.249995,0.0,0.0740723,0.0,0.0,-0.000119808,-0.124994,-6.665749992862402e-06,149.801046508
